+-------+--------+-----------------------------------------------+--------+--------+---------+--------+--------+
| COUNT | METHOD |                      URI                      |  MIN   |  MAX   |   SUM   |  AVG   |  P99   |
| 1     | GET    | /api/player/player/9fa531db                   | 13.528 | 13.528 | 13.528  | 13.528 | 13.528 |
| 1     | GET    | /api/player/player/9fa52be6                   | 13.284 | 13.284 | 13.284  | 13.284 | 13.284 |
| 3     | GET    | /api/player/player/9fa52a79                   | 0.004  | 6.900  | 13.192  | 4.397  | 6.900  |
| 1     | GET    | /api/player/player/9fa52d84                   | 13.108 | 13.108 | 13.108  | 13.108 | 13.108 |
| 2     | GET    | /api/player/player/24792612c                  | 0.060  | 12.976 | 13.036  | 6.518  | 12.976 |
| 3     | GET    | /api/player/player/9fa5298e                   | 0.060  | 6.852  | 13.032  | 4.344  | 6.852  |
| 3     | GET    | /api/player/player/1dded656e                  | 0.024  | 12.944 | 13.024  | 4.341  | 12.944 |
| 2     | GET    | /api/player/player/9fa52cf4                   | 0.060  | 12.824 | 12.884  | 6.442  | 12.824 |
| 1     | POST   | /api/organizer/competition/9fa53321/score     | 12.760 | 12.760 | 12.760  | 12.760 | 12.760 |
| 3     | GET    | /api/player/player/3d378a129                  | 0.092  | 12.276 | 12.696  | 4.232  | 12.276 |
| 3     | GET    | /api/player/player/9fa52d87                   | 0.012  | 12.628 | 12.684  | 4.228  | 12.628 |
| 2     | GET    | /api/player/player/31998669d                  | 0.060  | 12.544 | 12.604  | 6.302  | 12.544 |
| 1     | GET    | /api/player/player/9fa52cfa                   | 12.404 | 12.404 | 12.404  | 12.404 | 12.404 |
| 3     | GET    | /api/player/player/1efa2535f                  | 0.032  | 12.092 | 12.164  | 4.055  | 12.092 |
| 3     | GET    | /api/player/player/3fbf131b4                  | 0.020  | 11.856 | 11.912  | 3.971  | 11.856 |
| 1     | GET    | /api/player/player/9fa52d86                   | 11.616 | 11.616 | 11.616  | 11.616 | 11.616 |
| 2     | GET    | /api/player/player/9fa52a43                   | 5.372  | 6.100  | 11.472  | 5.736  | 6.100  |
| 1     | GET    | /api/player/player/9fa52a08                   | 9.412  | 9.412  | 9.412   | 9.412  | 9.412  |
| 2     | GET    | /api/player/player/9fa52ad6                   | 0.100  | 9.300  | 9.400   | 4.700  | 9.300  |
| 2     | GET    | /api/player/player/9fa5286a                   | 0.028  | 9.332  | 9.360   | 4.680  | 9.332  |
| 1     | POST   | /api/organizer/competition/9fa531e0/score     | 9.332  | 9.332  | 9.332   | 9.332  | 9.332  |
| 2     | GET    | /api/player/player/9fa527d1                   | 0.004  | 9.224  | 9.228   | 4.614  | 9.224  |
| 1     | GET    | /api/player/player/9fa5283a                   | 9.184  | 9.184  | 9.184   | 9.184  | 9.184  |
| 1     | GET    | /api/player/player/9fa52a3f                   | 8.780  | 8.780  | 8.780   | 8.780  | 8.780  |
| 1     | POST   | /api/organizer/competition/9fa53b00/score     | 8.724  | 8.724  | 8.724   | 8.724  | 8.724  |
| 2     | GET    | /api/player/player/9fa528f8                   | 0.004  | 8.604  | 8.608   | 4.304  | 8.604  |
| 1     | GET    | /api/player/player/9fa52ab3                   | 8.600  | 8.600  | 8.600   | 8.600  | 8.600  |
| 1     | GET    | /api/player/player/9fa528ae                   | 8.592  | 8.592  | 8.592   | 8.592  | 8.592  |
| 1     | GET    | /api/player/player/9fa52831                   | 8.532  | 8.532  | 8.532   | 8.532  | 8.532  |
| 2     | GET    | /api/player/player/9fa52a5d                   | 8.492  | 8.492  | 8.492   | 4.246  | 8.492  |
| 1     | GET    | /api/player/player/9fa52794                   | 8.420  | 8.420  | 8.420   | 8.420  | 8.420  |
| 1     | GET    | /api/player/player/9fa52897                   | 8.312  | 8.312  | 8.312   | 8.312  | 8.312  |
| 3     | GET    | /api/player/player/9fa5279a                   | 0.004  | 4.564  | 8.284   | 2.761  | 4.564  |
| 2     | GET    | /api/player/player/9fa52a6b                   | 0.004  | 8.276  | 8.280   | 4.140  | 8.276  |
| 1     | GET    | /api/player/player/9fa529cd                   | 8.024  | 8.024  | 8.024   | 8.024  | 8.024  |
| 1     | GET    | /api/player/player/9fa52850                   | 7.952  | 7.952  | 7.952   | 7.952  | 7.952  |
| 1     | GET    | /api/player/player/9fa5290d                   | 7.900  | 7.900  | 7.900   | 7.900  | 7.900  |
| 22    | GET    | /api/player/competition/9fa53c62/ranking      | 0.008  | 0.720  | 7.900   | 0.359  | 0.720  |
| 2     | GET    | /api/player/player/9fa527ba                   | 0.004  | 7.828  | 7.832   | 3.916  | 7.828  |
| 1     | GET    | /api/player/player/9fa5281e                   | 7.720  | 7.720  | 7.720   | 7.720  | 7.720  |
| 2     | GET    | /api/player/player/9fa52880                   | 0.008  | 7.652  | 7.660   | 3.830  | 7.652  |
| 1     | GET    | /api/player/player/9fa528a9                   | 7.636  | 7.636  | 7.636   | 7.636  | 7.636  |
| 1     | GET    | /api/player/player/9fa529b7                   | 7.564  | 7.564  | 7.564   | 7.564  | 7.564  |
| 1     | GET    | /api/player/player/9fa52ad3                   | 7.528  | 7.528  | 7.528   | 7.528  | 7.528  |
| 1     | POST   | /api/organizer/competition/9fa5377f/score     | 7.372  | 7.372  | 7.372   | 7.372  | 7.372  |
| 1     | GET    | /api/player/player/9fa52a2d                   | 7.360  | 7.360  | 7.360   | 7.360  | 7.360  |
| 1     | GET    | /api/player/player/9fa52a3b                   | 7.348  | 7.348  | 7.348   | 7.348  | 7.348  |
| 11    | GET    | /api/player/competition/9fa5252b/ranking      | 0.008  | 1.764  | 7.132   | 0.648  | 1.764  |
| 2     | GET    | /api/player/player/9fa52942                   | 7.116  | 7.116  | 7.116   | 3.558  | 7.116  |
| 1     | GET    | /api/player/player/9fa5292f                   | 6.976  | 6.976  | 6.976   | 6.976  | 6.976  |
| 2     | GET    | /api/player/player/9fa5295e                   | 0.220  | 6.564  | 6.784   | 3.392  | 6.564  |
| 2     | GET    | /api/player/player/9fa529e9                   | 0.168  | 6.420  | 6.588   | 3.294  | 6.420  |
| 1     | GET    | /api/player/player/9fa52ad9                   | 6.416  | 6.416  | 6.416   | 6.416  | 6.416  |
| 2     | GET    | /api/player/player/9fa52ac2                   | 0.008  | 6.356  | 6.364   | 3.182  | 6.356  |
| 1     | POST   | /api/organizer/competition/9fa52adc/score     | 6.356  | 6.356  | 6.356   | 6.356  | 6.356  |
| 1     | GET    | /api/player/player/516906c15                  | 6.328  | 6.328  | 6.328   | 6.328  | 6.328  |
| 2     | POST   | /api/organizer/competition/9fa531c9/score     | 2.940  | 3.376  | 6.316   | 3.158  | 3.376  |
| 1     | GET    | /api/player/player/9fa5288b                   | 6.284  | 6.284  | 6.284   | 6.284  | 6.284  |
| 1     | POST   | /api/organizer/competition/9fa52d9e/score     | 6.220  | 6.220  | 6.220   | 6.220  | 6.220  |
| 1     | POST   | /api/organizer/competition/9fa540cb/score     | 6.208  | 6.208  | 6.208   | 6.208  | 6.208  |
| 1     | GET    | /api/player/player/9fa52827                   | 6.144  | 6.144  | 6.144   | 6.144  | 6.144  |
| 2     | POST   | /api/organizer/competition/9fa5278c/score     | 2.904  | 3.212  | 6.116   | 3.058  | 3.212  |
| 1     | GET    | /api/player/player/9fa528dc                   | 6.108  | 6.108  | 6.108   | 6.108  | 6.108  |
| 2     | GET    | /api/player/player/9fa528fe                   | 0.016  | 6.084  | 6.100   | 3.050  | 6.084  |
| 2     | GET    | /api/player/player/3e2603de7                  | 0.024  | 6.064  | 6.088   | 3.044  | 6.064  |
| 1     | GET    | /api/player/player/9fa5299b                   | 6.060  | 6.060  | 6.060   | 6.060  | 6.060  |
| 2     | GET    | /api/player/player/9fa527f2                   | 0.016  | 6.032  | 6.048   | 3.024  | 6.032  |
| 1     | GET    | /api/player/player/60f82bd16                  | 5.960  | 5.960  | 5.960   | 5.960  | 5.960  |
| 2     | GET    | /api/player/player/9fa52a60                   | 0.092  | 5.844  | 5.936   | 2.968  | 5.844  |
| 1     | GET    | /api/player/player/9fa5294e                   | 5.844  | 5.844  | 5.844   | 5.844  | 5.844  |
| 3     | POST   | /api/organizer/competition/9fa52404/score     | 1.724  | 2.180  | 5.836   | 1.945  | 2.180  |
| 2     | GET    | /api/player/player/b592b28d                   | 0.160  | 5.572  | 5.732   | 2.866  | 5.572  |
| 1     | GET    | /api/player/competition/4eede1185/ranking     | 5.664  | 5.664  | 5.664   | 5.664  | 5.664  |
| 1     | POST   | /api/organizer/competition/9fa5278b/score     | 5.636  | 5.636  | 5.636   | 5.636  | 5.636  |
| 2     | GET    | /api/player/player/2aab8eabe                  | 0.056  | 5.572  | 5.628   | 2.814  | 5.572  |
| 2     | POST   | /api/organizer/competition/9fa53bc8/score     | 2.776  | 2.812  | 5.588   | 2.794  | 2.812  |
| 2     | POST   | /api/organizer/competition/9fa53997/score     | 2.180  | 3.340  | 5.520   | 2.760  | 3.340  |
| 1     | POST   | /api/organizer/competition/9fa52f6e/score     | 5.424  | 5.424  | 5.424   | 5.424  | 5.424  |
| 1     | GET    | /api/player/player/9fa52910                   | 5.400  | 5.400  | 5.400   | 5.400  | 5.400  |
| 1     | GET    | /api/player/player/9fa528a4                   | 5.280  | 5.280  | 5.280   | 5.280  | 5.280  |
| 1     | GET    | /api/player/player/9fa52938                   | 5.276  | 5.276  | 5.276   | 5.276  | 5.276  |
| 2     | GET    | /api/player/player/9fa52a99                   | 0.276  | 4.976  | 5.252   | 2.626  | 4.976  |
| 1     | GET    | /api/player/player/9fa52997                   | 5.048  | 5.048  | 5.048   | 5.048  | 5.048  |
| 1     | GET    | /api/player/player/9fa527ce                   | 4.992  | 4.992  | 4.992   | 4.992  | 4.992  |
| 1     | GET    | /api/player/player/9fa527e8                   | 4.956  | 4.956  | 4.956   | 4.956  | 4.956  |
| 2     | GET    | /api/player/player/9fa52acb                   | 0.140  | 4.660  | 4.800   | 2.400  | 4.660  |
| 1     | GET    | /api/player/player/9fa527b0                   | 4.756  | 4.756  | 4.756   | 4.756  | 4.756  |
| 1     | GET    | /api/player/player/9fa527c4                   | 4.736  | 4.736  | 4.736   | 4.736  | 4.736  |
| 2     | GET    | /api/player/player/9fa528e1                   | 0.032  | 4.684  | 4.716   | 2.358  | 4.684  |
| 2     | POST   | /api/organizer/competition/9fa53551/score     | 2.180  | 2.404  | 4.584   | 2.292  | 2.404  |
| 2     | GET    | /api/player/player/9fa52a20                   | 4.356  | 4.356  | 4.356   | 2.178  | 4.356  |
| 2     | POST   | /api/organizer/competition/9fa537b0/score     | 1.944  | 2.284  | 4.228   | 2.114  | 2.284  |
| 1     | POST   | /initialize                                   | 3.952  | 3.952  | 3.952   | 3.952  | 3.952  |
| 2     | POST   | /api/organizer/competition/9fa541d3/score     | 1.936  | 1.960  | 3.896   | 1.948  | 1.960  |
| 2     | POST   | /api/organizer/competition/9fa5252b/score     | 1.752  | 1.824  | 3.576   | 1.788  | 1.824  |
| 20    | GET    | /api/organizer/billing                        | 0.004  | 1.216  | 2.968   | 0.148  | 1.216  |
| 2     | POST   | /api/organizer/competition/9fa53f3f/score     | 1.316  | 1.640  | 2.956   | 1.478  | 1.640  |
| 1     | POST   | /api/organizer/competition/9fa53a4d/score     | 2.872  | 2.872  | 2.872   | 2.872  | 2.872  |
| 1     | POST   | /api/organizer/competition/9fa5336a/score     | 2.752  | 2.752  | 2.752   | 2.752  | 2.752  |
| 1     | POST   | /api/organizer/competition/9fa52ccf/score     | 2.208  | 2.208  | 2.208   | 2.208  | 2.208  |
| 1     | POST   | /api/organizer/competition/9fa52dd3/score     | 1.828  | 1.828  | 1.828   | 1.828  | 1.828  |
| 2     | POST   | /api/organizer/competition/9fa52d15/score     | 0.712  | 0.912  | 1.624   | 0.812  | 0.912  |
| 1     | POST   | /api/organizer/competition/9fa542ea/score     | 1.532  | 1.532  | 1.532   | 1.532  | 1.532  |
| 1     | POST   | /api/organizer/competition/9fa538a7/score     | 1.436  | 1.436  | 1.436   | 1.436  | 1.436  |
| 11    | POST   | /api/admin/tenants/add                        | 0.056  | 0.472  | 1.404   | 0.128  | 0.472  |
| 1     | POST   | /api/organizer/competition/9fa54036/score     | 1.328  | 1.328  | 1.328   | 1.328  | 1.328  |
| 39    | POST   | /api/organizer/competitions/add               | 0.012  | 0.232  | 1.296   | 0.033  | 0.232  |
| 112   | GET    | /api/player/competitions                      | 0.004  | 0.032  | 1.240   | 0.011  | 0.028  |
| 2     | POST   | /api/organizer/competition/9fa52afc/score     | 0.608  | 0.616  | 1.224   | 0.612  | 0.616  |
| 1     | POST   | /api/organizer/competition/9fa53143/score     | 1.156  | 1.156  | 1.156   | 1.156  | 1.156  |
| 48    | GET    | /api/player/competition/9fa538a7/ranking      | 0.012  | 0.060  | 1.136   | 0.024  | 0.060  |
| 1     | POST   | /api/organizer/competition/9fa52fc2/score     | 1.080  | 1.080  | 1.080   | 1.080  | 1.080  |
| 2     | POST   | /api/organizer/competition/9fa52f42/score     | 0.376  | 0.472  | 0.848   | 0.424  | 0.472  |
| 1     | POST   | /api/organizer/competition/9fa536b6/score     | 0.816  | 0.816  | 0.816   | 0.816  | 0.816  |
| 66    | GET    | /api/player/competition/9fa53da1/ranking      | 0.004  | 0.024  | 0.788   | 0.012  | 0.024  |
| 1     | POST   | /api/organizer/competition/9fa53c62/score     | 0.712  | 0.712  | 0.712   | 0.712  | 0.712  |
| 1     | POST   | /api/organizer/competition/9fa53da1/score     | 0.692  | 0.692  | 0.692   | 0.692  | 0.692  |
| 23    | GET    | /api/player/competition/9fa53143/ranking      | 0.012  | 0.064  | 0.680   | 0.030  | 0.064  |
| 1     | POST   | /api/organizer/competition/9fa52a98/score     | 0.648  | 0.648  | 0.648   | 0.648  | 0.648  |
| 1     | GET    | /api/player/player/9fa52d38                   | 0.628  | 0.628  | 0.628   | 0.628  | 0.628  |
| 4     | GET    | /api/player/player/9fa52cca                   | 0.044  | 0.264  | 0.624   | 0.156  | 0.264  |
| 4     | GET    | /api/player/player/e1418ed7                   | 0.020  | 0.392  | 0.592   | 0.148  | 0.392  |
| 42    | GET    | /api/player/competition/9fa536b6/ranking      | 0.008  | 0.028  | 0.564   | 0.013  | 0.028  |
| 2     | POST   | /api/organizer/competition/9fa5311e/score     | 0.268  | 0.292  | 0.560   | 0.280  | 0.292  |
| 42    | GET    | /api/player/competition/9fa52a98/ranking      | 0.008  | 0.024  | 0.540   | 0.013  | 0.024  |
| 2     | GET    | /api/player/player/9fa52c39                   | 0.144  | 0.392  | 0.536   | 0.268  | 0.392  |
| 1     | GET    | /api/player/player/12eaa25db                  | 0.488  | 0.488  | 0.488   | 0.488  | 0.488  |
| 2     | GET    | /api/player/player/9fa531c2                   | 0.024  | 0.444  | 0.468   | 0.234  | 0.444  |
| 31    | GET    | /api/player/competition/9fa52fc2/ranking      | 0.008  | 0.024  | 0.460   | 0.015  | 0.024  |
| 2     | GET    | /api/player/player/9fa52835                   | 0.072  | 0.356  | 0.428   | 0.214  | 0.356  |
| 1     | GET    | /api/player/player/2fff08f69                  | 0.408  | 0.408  | 0.408   | 0.408  | 0.408  |
| 2     | GET    | /api/player/player/610528fdc                  | 0.048  | 0.360  | 0.408   | 0.204  | 0.360  |
| 3     | GET    | /api/player/player/9fa52be9                   | 0.024  | 0.284  | 0.396   | 0.132  | 0.284  |
| 2     | GET    | /api/player/player/5d17a273e                  | 0.032  | 0.352  | 0.384   | 0.192  | 0.352  |
| 1     | GET    | /api/player/player/9fa5318b                   | 0.372  | 0.372  | 0.372   | 0.372  | 0.372  |
| 3     | GET    | /api/player/player/9fa52d4a                   | 0.036  | 0.236  | 0.356   | 0.119  | 0.236  |
| 21    | GET    | /api/player/competition/9fa542ea/ranking      | 0.012  | 0.036  | 0.348   | 0.017  | 0.036  |
| 4     | GET    | /api/player/player/61b6d1f27                  | 0.004  | 0.168  | 0.348   | 0.087  | 0.168  |
| 24    | GET    | /api/player/competition/9fa54036/ranking      | 0.008  | 0.032  | 0.324   | 0.014  | 0.032  |
| 3     | GET    | /api/player/player/b0d8acf5                   | 0.032  | 0.224  | 0.320   | 0.107  | 0.224  |
| 2     | GET    | /api/player/player/4a015275e                  | 0.036  | 0.280  | 0.316   | 0.158  | 0.280  |
| 2     | GET    | /api/player/player/4717879c0                  | 0.012  | 0.304  | 0.316   | 0.158  | 0.304  |
| 10    | GET    | /api/player/competition/9fa53a4d/ranking      | 0.020  | 0.044  | 0.308   | 0.031  | 0.044  |
| 1     | GET    | /api/player/player/9fa52ace                   | 0.300  | 0.300  | 0.300   | 0.300  | 0.300  |
| 1     | GET    | /api/player/player/9fa532c7                   | 0.292  | 0.292  | 0.292   | 0.292  | 0.292  |
| 3     | GET    | /api/player/player/53bf2e2ec                  | 0.028  | 0.220  | 0.292   | 0.097  | 0.220  |
| 3     | GET    | /api/player/player/49ba30028                  | 0.052  | 0.136  | 0.284   | 0.095  | 0.136  |
| 1     | GET    | /api/player/player/9fa52a5a                   | 0.272  | 0.272  | 0.272   | 0.272  | 0.272  |
| 1     | GET    | /api/player/player/5e5bc9d9d                  | 0.264  | 0.264  | 0.264   | 0.264  | 0.264  |
| 3     | GET    | /api/player/player/358945ce3                  | 0.024  | 0.212  | 0.264   | 0.088  | 0.212  |
| 1     | GET    | /api/player/player/9fa52847                   | 0.264  | 0.264  | 0.264   | 0.264  | 0.264  |
| 1     | GET    | /api/player/player/9fa528fb                   | 0.252  | 0.252  | 0.252   | 0.252  | 0.252  |
| 2     | GET    | /api/player/player/824993e0                   | 0.036  | 0.196  | 0.232   | 0.116  | 0.196  |
| 1     | GET    | /api/player/player/9fa53215                   | 0.220  | 0.220  | 0.220   | 0.220  | 0.220  |
| 3     | GET    | /api/player/player/47e74c15b                  | 0.016  | 0.140  | 0.216   | 0.072  | 0.140  |
| 1     | GET    | /api/player/player/318be0c59                  | 0.212  | 0.212  | 0.212   | 0.212  | 0.212  |
| 1     | GET    | /api/player/player/9fa52c5d                   | 0.208  | 0.208  | 0.208   | 0.208  | 0.208  |
| 3     | GET    | /api/player/player/4cfe91c90                  | 0.012  | 0.148  | 0.204   | 0.068  | 0.148  |
| 2     | GET    | /api/player/player/11a00b043                  | 0.020  | 0.184  | 0.204   | 0.102  | 0.184  |
| 3     | GET    | /api/player/player/2ef4dadeb                  | 0.032  | 0.092  | 0.200   | 0.067  | 0.092  |
| 1     | GET    | /api/player/player/9fa5322c                   | 0.200  | 0.200  | 0.200   | 0.200  | 0.200  |
| 4     | GET    | /api/player/player/6327da9e5                  | 0.008  | 0.076  | 0.196   | 0.049  | 0.076  |
| 11    | GET    | /api/player/competition/9fa5336a/ranking      | 0.012  | 0.032  | 0.196   | 0.018  | 0.032  |
| 1     | GET    | /api/player/player/9fa52a95                   | 0.192  | 0.192  | 0.192   | 0.192  | 0.192  |
| 25    | GET    | /api/organizer/players                        | 0.004  | 0.032  | 0.192   | 0.008  | 0.032  |
| 1     | GET    | /api/player/competition/3826db66d/ranking     | 0.192  | 0.192  | 0.192   | 0.192  | 0.192  |
| 1     | GET    | /api/player/player/9fa52a76                   | 0.188  | 0.188  | 0.188   | 0.188  | 0.188  |
| 2     | GET    | /api/player/player/9fa5298a                   | 0.060  | 0.124  | 0.184   | 0.092  | 0.124  |
| 2     | GET    | /api/player/player/518bd36dc                  | 0.052  | 0.120  | 0.172   | 0.086  | 0.120  |
| 1     | GET    | /api/player/player/9fa52cea                   | 0.172  | 0.172  | 0.172   | 0.172  | 0.172  |
| 1     | GET    | /api/player/player/9fa52ab1                   | 0.164  | 0.164  | 0.164   | 0.164  | 0.164  |
| 1     | GET    | /api/player/player/9fa52c8d                   | 0.152  | 0.152  | 0.152   | 0.152  | 0.152  |
| 4     | GET    | /api/player/competition/9fa53997/ranking      | 0.004  | 0.052  | 0.148   | 0.037  | 0.052  |
| 2     | GET    | /api/player/player/fe0a7c56                   | 0.060  | 0.088  | 0.148   | 0.074  | 0.088  |
| 8     | GET    | /api/player/competition/9fa52ccf/ranking      | 0.012  | 0.036  | 0.148   | 0.018  | 0.036  |
| 4     | GET    | /api/player/player/630e46c47                  | 0.004  | 0.048  | 0.140   | 0.035  | 0.048  |
| 1     | GET    | /api/player/player/4d766fd12                  | 0.136  | 0.136  | 0.136   | 0.136  | 0.136  |
| 3     | GET    | /api/player/player/33a3fc6b6                  | 0.020  | 0.076  | 0.124   | 0.041  | 0.076  |
| 1     | GET    | /api/player/player/9fa52948                   | 0.124  | 0.124  | 0.124   | 0.124  | 0.124  |
| 4     | GET    | /api/player/player/622d04c25                  | 0.000  | 0.056  | 0.124   | 0.031  | 0.056  |
| 4     | GET    | /api/player/player/5d4e1bc29                  | 0.004  | 0.056  | 0.124   | 0.031  | 0.056  |
| 1     | GET    | /api/player/player/63961947f                  | 0.116  | 0.116  | 0.116   | 0.116  | 0.116  |
| 4     | GET    | /api/player/player/25cb329bb                  | 0.012  | 0.040  | 0.112   | 0.028  | 0.040  |
| 1     | GET    | /api/player/player/9fa52801                   | 0.112  | 0.112  | 0.112   | 0.112  | 0.112  |
| 3     | GET    | /api/player/player/32793f5f7                  | 0.020  | 0.072  | 0.112   | 0.037  | 0.072  |
| 4     | GET    | /api/player/player/5e60d557c                  | 0.004  | 0.040  | 0.108   | 0.027  | 0.040  |
| 1     | GET    | /api/player/player/9fa52d82                   | 0.108  | 0.108  | 0.108   | 0.108  | 0.108  |
| 2     | GET    | /api/player/player/9fa52c40                   | 0.028  | 0.080  | 0.108   | 0.054  | 0.080  |
| 2     | GET    | /api/player/player/3ad7be603                  | 0.028  | 0.076  | 0.104   | 0.052  | 0.076  |
| 1     | GET    | /api/player/player/4f9a17ff2                  | 0.104  | 0.104  | 0.104   | 0.104  | 0.104  |
| 2     | GET    | /api/player/player/9fa5297d                   | 0.004  | 0.096  | 0.100   | 0.050  | 0.096  |
| 2     | GET    | /api/player/player/27965a888                  | 0.044  | 0.056  | 0.100   | 0.050  | 0.056  |
| 1     | GET    | /api/player/player/6355dbf70                  | 0.100  | 0.100  | 0.100   | 0.100  | 0.100  |
| 1     | GET    | /api/player/player/9fa531f3                   | 0.096  | 0.096  | 0.096   | 0.096  | 0.096  |
| 1     | GET    | /api/player/player/9fa52aca                   | 0.096  | 0.096  | 0.096   | 0.096  | 0.096  |
| 1     | GET    | /api/player/player/9fa52a56                   | 0.096  | 0.096  | 0.096   | 0.096  | 0.096  |
| 4     | GET    | /api/player/competition/9fa537b0/ranking      | 0.000  | 0.052  | 0.096   | 0.024  | 0.052  |
| 2     | GET    | /api/player/player/6352aa160                  | 0.044  | 0.048  | 0.092   | 0.046  | 0.048  |
| 1     | GET    | /api/player/player/1cbc0d6b9                  | 0.092  | 0.092  | 0.092   | 0.092  | 0.092  |
| 4     | GET    | /api/player/competition/9fa531c9/ranking      | 0.004  | 0.036  | 0.088   | 0.022  | 0.036  |
| 2     | GET    | /api/player/player/4621d819b                  | 0.040  | 0.044  | 0.084   | 0.042  | 0.044  |
| 2     | GET    | /api/player/player/5e8521595                  | 0.036  | 0.048  | 0.084   | 0.042  | 0.048  |
| 1     | GET    | /api/player/player/9fa531d4                   | 0.080  | 0.080  | 0.080   | 0.080  | 0.080  |
| 1     | GET    | /api/player/player/9fa53196                   | 0.080  | 0.080  | 0.080   | 0.080  | 0.080  |
| 2     | GET    | /api/player/player/9fa529f3                   | 0.000  | 0.076  | 0.076   | 0.038  | 0.076  |
| 1     | GET    | /api/player/player/25d4e7f09                  | 0.076  | 0.076  | 0.076   | 0.076  | 0.076  |
| 1     | GET    | /api/player/player/3a914945a                  | 0.076  | 0.076  | 0.076   | 0.076  | 0.076  |
| 1     | GET    | /api/player/player/379067c54                  | 0.076  | 0.076  | 0.076   | 0.076  | 0.076  |
| 4     | GET    | /api/player/player/6217ec5d1                  | 0.004  | 0.036  | 0.076   | 0.019  | 0.036  |
| 2     | GET    | /api/player/player/9fa52883                   | 0.004  | 0.072  | 0.076   | 0.038  | 0.072  |
| 1     | GET    | /api/player/player/4f0f24b47                  | 0.076  | 0.076  | 0.076   | 0.076  | 0.076  |
| 3     | GET    | /api/player/competition/9fa541d3/ranking      | 0.020  | 0.028  | 0.072   | 0.024  | 0.028  |
| 4     | GET    | /api/player/competition/9fa5278c/ranking      | 0.004  | 0.028  | 0.072   | 0.018  | 0.028  |
| 4     | GET    | /api/player/competition/9fa52afc/ranking      | 0.012  | 0.028  | 0.072   | 0.018  | 0.028  |
| 1     | GET    | /api/player/player/33f760111                  | 0.068  | 0.068  | 0.068   | 0.068  | 0.068  |
| 1     | GET    | /api/player/player/9fa5326a                   | 0.068  | 0.068  | 0.068   | 0.068  | 0.068  |
